brain,condition,label,area_name,area_mm2,pixel_count
D078_1L,control,87,"Primary somatosensory area, barrel field",3.03051693323,11333
D078_1L,control,90,"Primary somatosensory area, lower limb",1.39762788506,5615
D078_1L,control,93,"Primary somatosensory area, mouth",6.30518726986,26360
D078_1L,control,100,"Primary somatosensory area, trunk",0.529805354187,2017
D078_1L,control,103,"Primary somatosensory area, upper limb",2.41284824119,9880
D078_1L,control,106,Supplemental somatosensory area,5.95180347335,22497
D078_1L,control,110,Primary visual area,8.84827767104,37610
D078_1L,control,112,"Anterior cingulate area, dorsal part",2.78911952792,11082
D078_1L,control,113,Anteromedial visual area,0.473647081882,1803
D078_1L,control,117,Anterolateral visual area,0.922794158254,3421
D078_1L,control,120,Lateral visual area,0.553515810921,2375
D078_1L,control,121,Rostrolateral visual area,0.512077357931,1902
D078_1L,control,123,Posterolateral visual area,1.60246053215,6238
D078_1L,control,125,Infralimbic area,0.413305974268,735
D078_1L,control,134,"Anterior cingulate area, ventral part",1.93720337461,7935
D078_1L,control,159,posteromedial visual area,0.0733606865631,282
D078_1L,control,161,Temporal association areas,2.8451410897,12427
D078_1L,control,185,Visceral area,1.69051075457,6798
D078_1L,control,198,"Orbital area, lateral part",2.18142772847,10981
D078_1L,control,201,"Orbital area, medial part",0.782086112525,1761
D078_1L,control,205,"Orbital area, ventrolateral part",1.66370781419,4606
D078_1L,control,243,"Retrosplenial area, dorsal part",3.70988827727,20158
D078_1L,control,246,"Retrosplenial area, ventral part",5.16689380384,26304
D078_1L,control,248,"Retrosplenial area, lateral agranular part",2.5484478929,11823
D078_1L,control,249,Ectorhinal area,1.59955687134,7117
D078_1L,control,259,Perirhinal area,1.55333640602,7706
D078_1L,control,280,Prelimbic area,2.60046768991,13046
D078_1L,control,284,Primary motor area,5.57931597902,23214
D078_1L,control,288,Secondary motor area,10.4228397046,45488
D079_3L,control,5,Primary auditory area,2.03218451094,8018
D079_3L,control,9,Dorsal auditory area,0.787014379115,2854
D079_3L,control,12,Ventral auditory area,0.76774045981,3363
D079_3L,control,15,Posterior auditory area,0.000785325797351,3
D079_3L,control,20,"Agranular insular area, dorsal part",2.66233235209,10962
D079_3L,control,25,Gustatory areas,0.920399309424,4050
D079_3L,control,39,"Agranular insular area, posterior part",1.70930560385,8446
D079_3L,control,44,"Agranular insular area, ventral part",1.19778657759,4858
D079_3L,control,59,"Primary somatosensory area, unassigned",0.605061428631,2547
D079_3L,control,78,Anterior area,1.20709257679,4538
D079_3L,control,79,Laterointermediate area,0.529182168106,2285
D079_3L,control,80,Postrhinal area,1.11011135364,6110
D079_3L,control,87,"Primary somatosensory area, barrel field",5.10573937335,19420
D079_3L,control,90,"Primary somatosensory area, lower limb",0.926749181437,3798
D079_3L,control,93,"Primary somatosensory area, mouth",3.66725105311,15166
D079_3L,control,97,"Primary somatosensory area, nose",3.13745341291,12563
D079_3L,control,100,"Primary somatosensory area, trunk",1.39210476392,5421
D079_3L,control,103,"Primary somatosensory area, upper limb",1.23151544732,5394
D079_3L,control,106,Supplemental somatosensory area,5.62513704712,21761
D079_3L,control,110,Primary visual area,8.81910207142,35663
D079_3L,control,112,"Anterior cingulate area, dorsal part",4.07799907588,17940
D079_3L,control,113,Anteromedial visual area,0.323862003405,1222
D079_3L,control,117,Anterolateral visual area,0.800169576424,3059
D079_3L,control,120,Lateral visual area,1.45110856201,6743
