label,cell_type,mean_attention,sem,count
"Anterior cingulate area, ventral part",NP,0.0426006317139,0.0,2
Primary auditory area,HIP CA1,0.0422980343854,0.00237299435018,27
Gustatory areas,L6 IT,0.0422918399175,0.0100997227152,6
Dorsal auditory area,L4/5 IT,0.0422269584758,0.000245510261568,24538
"Retrosplenial area, lateral agranular part",L6b/CT,0.0421882119085,0.00222608320078,609
"Retrosplenial area, dorsal part",TR,0.0421555638313,0.00511486460937,28
Anterior area,L6b,0.0418819966524,0.00679229014836,46
"Primary somatosensory area, barrel field",L4/5 IT,0.0418772015546,0.000529668499074,5586
Gustatory areas,L4/5 IT,0.0418005943298,0.0154295822284,5
Anterior area,L5 IT,0.0417876136215,0.00221666932493,272
Supplemental somatosensory area,L4/5 IT,0.041764895232,0.000815206501656,2826
Posterior auditory area,L5 IT,0.0417357116287,0.000531306493222,4212
Perirhinal area,L6b/CT,0.0417060796605,0.00224100598734,43
Supplemental somatosensory area,ENT ML,0.0416984558105,0.00825369680427,5
Dorsal auditory area,HIP CA1,0.0416812896729,0.0,1
Rostrolateral visual area,L6 IT,0.0415882077795,0.000531658317417,5199
"Primary somatosensory area, unassigned",L6 IT,0.0415740013123,0.0,4
Perirhinal area,L5 IT,0.0414705511664,0.00171250352592,294
Anteromedial visual area,RSP/ACA UL,0.0414343246535,0.00219742821287,179
Primary visual area,ENT DL,0.0411296572489,0.000705822843889,1580
Ectorhinal area,ENT L6b,0.0410241788828,0.000400571809721,5126
"Primary somatosensory area, barrel field",TR,0.0410056114197,0.0,1
Ectorhinal area,AON,0.0407702922821,0.00177693367004,2
Posterolateral visual area,BLAa,0.0407326221466,0.000196695327759,2
posteromedial visual area,ENT DL,0.0407000227835,0.000892336258816,1028
posteromedial visual area,RSP/ACA ML,0.0406913857332,0.000853969409631,1341
Perirhinal area,L6b,0.0406116546593,0.00127588134461,642
Ventral auditory area,BLA/BMA/PA,0.0405577278137,0.00210723470273,50
Rostrolateral visual area,ENT ML,0.0404188141023,0.00344568589129,73
"Retrosplenial area, lateral agranular part",ENT UL,0.0401091575623,0.00261426349304,38
Primary auditory area,EPd,0.0401000252907,0.000825682285714,738
Posterolateral visual area,NP PPP/RSP,0.0400952028506,0.00149293795253,66
Lateral visual area,L6b,0.0400824874465,0.000471023619914,4436
Anteromedial visual area,L2/3 IT,0.0400376986288,0.00053519711603,4489
posteromedial visual area,BLA/BMA/PA,0.0399389266968,0.00969918486379,10
Primary visual area,L6b/CT,0.0398518554996,0.000850560846071,1433
