label,cell_type,mean_loss_increase,sem,n_groups,mean_n_dropped,error_rate_increase
"Retrosplenial area, lateral agranular part",BLAa,0.442446768284,0.469303548336,2,1.0,0.0
posteromedial visual area,L2/3 IT,0.441287398274,0.170068399259,87,10.5977011494,0.0229885057471
"Retrosplenial area, lateral agranular part",HIP CA3,0.430497127585,0.2707462768,6,1.0,0.0
"Anterior cingulate area, ventral part",NP PPP/RSP,0.430113697479,0.162755861788,17,1.41176470588,-0.0588235294118
Laterointermediate area,L4/5 IT,0.425822992846,0.587031231258,38,10.1315789474,0.0789473684211
Anterior area,L5 IT,0.424127264142,0.111873485228,122,3.85245901639,0.0901639344262
"Agranular insular area, ventral part",Low quality,0.423674218357,0.202562459223,11,2.0,0.0909090909091
Dorsal auditory area,Car3,0.422729352489,0.178758085949,74,3.28378378378,0.0675675675676
Supplemental somatosensory area,TR,0.41970539093,0.0,1,1.0,0.0
"Retrosplenial area, lateral agranular part",RSP/ACA UL,0.414455730277,0.12281613649,106,7.96226415094,0.103773584906
"Primary somatosensory area, trunk",L2/3 IT,0.413969503653,0.136760331075,147,11.2789115646,0.0340136054422
Rostrolateral visual area,L6 CT,0.402730394382,0.122196129167,78,5.97435897436,0.0512820512821
"Primary somatosensory area, unassigned",Low quality,0.401551564535,0.217901331354,3,1.0,0.0
Gustatory areas,AON,0.398772438367,0.251358165398,3,1.0,0.333333333333
"Primary somatosensory area, mouth",Car3,0.397716576731,0.176898977402,29,1.89655172414,0.0
Rostrolateral visual area,L5 IT,0.392981773694,0.0990159008596,99,2.47474747475,0.0606060606061
Perirhinal area,L2/3 IT,0.388862388177,0.31529396692,41,11.7073170732,-0.0975609756098
Posterior auditory area,ENT DL,0.387630905424,0.192623418461,14,1.5,0.0
Laterointermediate area,NP PPP/RSP,0.385764598846,0.0,1,1.0,0.0
"Agranular insular area, dorsal part",Car3,0.380637421932,0.126147624597,88,7.0,0.0795454545455
Visceral area,ENT DL,0.379707096002,0.230302015064,20,3.4,0.0
Ventral auditory area,Car3,0.377583513726,0.0777843063988,163,4.0490797546,0.0981595092025
Ectorhinal area,L2/3 IT,0.376847856442,0.182244479902,84,10.5357142857,0.0357142857143
posteromedial visual area,RSP/ACA UL,0.372294425964,0.0683350563049,2,1.0,0.0
Posterolateral visual area,L6 IT,0.371571850172,0.283732546552,22,2.59090909091,0.0454545454545
Primary auditory area,L6b/CT,0.370914204192,0.11678311848,34,1.64705882353,0.0294117647059
Anterior area,AON,0.369081616402,0.105853948317,3,1.0,0.333333333333
"Retrosplenial area, dorsal part",RSP/ACA UL,0.368345515581,0.0612216250436,282,10.3262411348,0.0921985815603
Anterolateral visual area,L4/5 IT,0.368085810584,0.177936364873,98,7.18367346939,0.132653061224
"Primary somatosensory area, barrel field",NP PPP/RSP,0.361384091899,0.356546463445,2,1.0,0.0
Lateral visual area,L5 IT,0.359524869552,0.167872852601,68,3.95588235294,0.0
"Primary somatosensory area, mouth",HIP CA1,0.356961329778,0.109294852937,3,1.0,0.0
Anteromedial visual area,L5 ET,0.354212287239,0.115887980079,94,2.82978723404,0.0212765957447
Posterolateral visual area,L5 IT,0.354150193281,0.175154384767,21,2.14285714286,0.0
Postrhinal area,RSP/ACA ML,0.351885686318,0.215135384363,3,1.33333333333,0.0
Anterolateral visual area,ENT DL,0.351771774143,0.237818191552,5,1.0,0.2
Prelimbic area,L6 CT,0.343163251877,0.0,1,5.0,0.0
"Agranular insular area, ventral part",L5 ET,0.34095356017,0.104955249114,26,3.19230769231,0.115384615385
Anterior area,L4/5 IT,0.340433330013,0.135061131407,143,7.4965034965,0.048951048951
Dorsal auditory area,NA,0.33706575711,0.0740704769587,144,5.43055555556,0.0347222222222
Posterior auditory area,L6 CT,0.330496938861,0.127274777135,49,4.28571428571,0.0204081632653
Lateral visual area,ENT ML,0.328248391549,0.340887316313,6,1.16666666667,0.0
Anterolateral visual area,L6 CT,0.3273327371,0.127605612842,69,3.88405797101,0.0434782608696
Secondary motor area,L2/3 IT,0.324711004291,0.0611705198553,249,8.04016064257,0.0642570281124
Anterior area,L6 IT,0.323236488627,0.135020220358,100,4.68,0.06
Gustatory areas,L6b,0.317851071642,0.088348062805,62,3.17741935484,-0.0161290322581
Rostrolateral visual area,L6 IT,0.317745919961,0.128721795042,80,3.675,0.0125
Ectorhinal area,ENT DL,0.314543660343,0.0930972964082,92,4.69565217391,0.0
Postrhinal area,ENT ML,0.314171574101,0.127021344511,38,5.15789473684,0.0263157894737
"Anterior cingulate area, dorsal part",L6 CT,0.308500661893,0.0865510126235,143,6.81818181818,0.0629370629371
Temporal association areas,L2/3 IT,0.306977619893,0.193755475123,167,10.5568862275,0.0419161676647
Primary motor area,L2/3 IT,0.306352375981,0.0463588036232,404,8.45297029703,0.0866336633663
