label,cell_type,mean_loss_increase,sem,n_groups,mean_n_dropped,error_rate_increase
Primary visual area,PG,0.0976582737984,0.0488317123906,27,1.11111111111,0.0
"Anterior cingulate area, dorsal part",EPd,0.0975599698722,0.0375508852303,2,1.0,0.0
"Anterior cingulate area, ventral part",Low quality,0.0971306765888,0.0544011934371,31,2.51612903226,-0.0322580645161
Anterior area,NA,0.0967359128754,0.0466575336675,187,5.31550802139,0.00534759358289
Primary motor area,Low quality,0.0948947704603,0.0342303016661,61,2.6393442623,0.0819672131148
Temporal association areas,L5 ET,0.0931625297902,0.0563539023327,130,2.95384615385,0.0153846153846
Laterointermediate area,EPd,0.0922431151072,0.177210464233,3,1.33333333333,0.0
Ectorhinal area,HIP CA3,0.0919351577759,0.0,1,1.0,0.0
"Anterior cingulate area, dorsal part",L2/3 IT,0.0914511100987,0.0947745442187,97,6.98969072165,0.0
"Agranular insular area, dorsal part",L6b/CT,0.0912243130147,0.0302018260658,64,2.390625,0.0625
"Retrosplenial area, dorsal part",HIP CA3,0.0910981893539,0.0829879045486,2,1.0,0.0
"Primary somatosensory area, barrel field",NA,0.0906593310867,0.0218815310676,788,5.80076142132,0.0177664974619
"Agranular insular area, posterior part",RSP/ACA ML,0.0901394486427,0.018884062767,2,1.0,0.0
"Primary somatosensory area, mouth",L6b/CT,0.0878346539526,0.0923660155303,11,1.0,0.0
Cortical subplate,BLA/BMA/PA,0.0867369174957,0.0312168598175,2,1.0,0.0
Ventral auditory area,RSP/ACA ML,0.0856438875198,0.0370010733604,2,1.0,0.0
"Anterior cingulate area, dorsal part",L4/5 IT,0.0850131391064,0.0614623701154,91,3.58241758242,0.021978021978
Dorsal auditory area,Low quality,0.0846929152807,0.102789777157,3,1.0,0.0
"Primary somatosensory area, nose",L5 IT,0.0842098334885,0.116365799877,127,2.79527559055,0.00787401574803
Secondary motor area,PPP,0.0835946835577,0.0677593832149,7,1.0,0.0
"Anterior cingulate area, dorsal part",L6b,0.0827990364559,0.041601392002,71,2.70422535211,0.0
Temporal association areas,RSP/ACA UL,0.0817310474813,0.0311222404125,4,1.0,0.0
Ectorhinal area,L5 IT,0.0816711831361,0.129107873677,42,2.0,-0.047619047619
"Primary somatosensory area, lower limb",NP,0.0815052111472,0.0272215686758,139,1.43884892086,0.0503597122302
Anterolateral visual area,Low quality,0.0798050813998,0.059047108011,12,1.0,0.0833333333333
Visceral area,NP,0.0791508996626,0.050488620393,46,1.76086956522,0.0434782608696
Supplemental somatosensory area,PIR UL,0.0790603914757,0.0269877523402,37,1.0,0.0
Lateral visual area,L4/5 IT,0.0787957847422,0.220475170571,98,8.36734693878,-0.0510204081633
"Retrosplenial area, lateral agranular part",PG,0.0779078453779,0.0823478937782,10,1.0,0.0
"Primary somatosensory area, lower limb",PIR UL,0.0773193698376,0.0572212278145,5,1.0,0.2
Dorsal auditory area,NP,0.0772810676677,0.0315550663227,43,1.81395348837,-0.0232558139535
Ventral auditory area,L6 CT,0.0769682635474,0.0752403582677,94,4.53191489362,0.0106382978723
"Anterior cingulate area, ventral part",TT,0.076751001543,0.0807823352205,12,3.5,0.0
"Primary somatosensory area, upper limb",NP PPP/RSP,0.076668814889,0.014346232403,7,1.0,0.0
Primary visual area,NP,0.0757250262068,0.019784557255,219,1.61643835616,0.013698630137
Temporal association areas,HIP CA1,0.0756760835648,0.0,1,1.0,0.0
Primary visual area,RSP/ACA UL,0.0756594688948,0.0371688467306,21,1.04761904762,0.047619047619
Laterointermediate area,BLA/BMA/PA,0.0751466751099,0.0,1,1.0,0.0
Ventral auditory area,TR,0.074697971344,0.120100975037,2,1.0,0.0
Dorsal auditory area,L6b/CT,0.0745197480375,0.108219120944,11,1.09090909091,0.0
Dorsal auditory area,Unclear,0.0737325876419,0.0284870505161,7,1.14285714286,0.0
Postrhinal area,PIR UL,0.0721845646935,0.0444803744961,13,1.23076923077,0.0769230769231
Dorsal auditory area,L5 IT,0.0719421893523,0.118541195121,68,2.80882352941,0.0441176470588
"Retrosplenial area, ventral part",NA,0.0717107995918,0.0147821102407,457,7.51641137856,0.0306345733042
cerebrum related,NP PPP/RSP,0.0713977813721,0.0,1,1.0,0.0
Primary visual area,AON,0.0709283913457,0.104838756117,8,1.0,0.0
"Primary somatosensory area, lower limb",L6b,0.0707276076392,0.0403331920766,98,2.4693877551,0.0204081632653
Lateral visual area,Low quality,0.0706369443373,0.0676803121842,11,1.09090909091,-0.0909090909091
Supplemental somatosensory area,AON,0.0702103111479,0.0950036250552,9,1.0,0.0
"Primary somatosensory area, upper limb",L6 IT,0.0701992381846,0.0529902442861,338,3.47041420118,0.0325443786982
posteromedial visual area,EPd,0.0693502426147,0.0,1,1.0,0.0
Primary visual area,NP PPP/RSP,0.0692545829806,0.0417046612083,15,1.0,0.0
Visceral area,L5 ET,0.0692492246438,0.115072843815,59,2.76271186441,0.0677966101695
"Retrosplenial area, dorsal part",L6 CT,0.0688443939084,0.0511221635892,326,6.30674846626,0.0644171779141
"Retrosplenial area, lateral agranular part",TT,0.0688400268555,0.00208282470703,2,1.0,0.0
Perirhinal area,L5 ET,0.0678556449711,0.0262423473441,4,1.0,0.0
Anterior area,NP PPP/RSP,0.0675360605121,0.0890715220086,5,1.0,0.0
Primary visual area,HIP CA3,0.0669950274751,0.0389683605708,5,1.0,0.0
"Primary somatosensory area, trunk",L6 IT,0.0669500150838,0.0557178846786,141,3.00709219858,0.00709219858156
"Anterior cingulate area, ventral part",HIP CA3,0.0667749209949,0.043473765137,14,1.71428571429,0.0714285714286
Ectorhinal area,PG,0.065640388988,0.089834539679,4,1.0,0.0
"Primary somatosensory area, unassigned",COA,0.065595805645,0.0,1,1.0,0.0
Rostrolateral visual area,PG,0.0650273859501,0.132264672131,7,1.0,0.0
"Primary somatosensory area, mouth",NA,0.0646388508136,0.0275223463351,586,6.34812286689,0.0119453924915
Ventral auditory area,L5 IT,0.0644227285814,0.0622586678525,93,2.03225806452,0.0
Anterior area,L5 ET,0.0641409552016,0.131664562503,100,3.51,0.0
Visceral area,L6b,0.0641361140832,0.104467362198,100,5.48,0.0
Lateral visual area,L6b,0.0636596359933,0.12751904552,24,1.79166666667,-0.0833333333333
"Retrosplenial area, dorsal part",L6 IT,0.0632066505382,0.0462274593132,287,3.10452961672,0.0278745644599
"Primary somatosensory area, mouth",PG,0.0628807869507,0.0269214040185,16,1.0625,0.0
"Retrosplenial area, dorsal part",Unclear,0.0623112902394,0.0321448046957,8,1.0,0.0
Gustatory areas,LA,0.0621429284414,0.162897171777,3,1.0,0.0
Anterolateral visual area,NP,0.0618769359829,0.0543001818662,52,1.59615384615,0.0
Anteromedial visual area,RSP/ACA ML,0.0618023723364,0.0,1,1.0,0.0
Secondary motor area,L6 IT,0.0616880697148,0.028415740081,349,3.52148997135,0.0200573065903
Perirhinal area,L5 IT,0.0615218819119,0.182484554816,10,1.5,0.0
"Retrosplenial area, dorsal part",LA,0.0603818893433,0.0,1,1.0,0.0
"Anterior cingulate area, ventral part",L4/5 IT,0.0592232793911,0.0592972349874,95,3.67368421053,0.0
Lateral visual area,RSP/ACA UL,0.0585693915685,0.208843274022,3,1.0,0.0
Anterior area,NP,0.0584902814279,0.0327565309313,75,1.81333333333,-0.0133333333333
Perirhinal area,NA,0.0583672371221,0.11003607975,45,7.04444444444,0.0
"Agranular insular area, posterior part",TR,0.0578959456881,0.0707202076191,28,1.57142857143,-0.0357142857143
"Anterior cingulate area, dorsal part",L5 IT,0.0572794803913,0.0379069062712,118,3.56779661017,0.0338983050847
Perirhinal area,L6 IT,0.057128213346,0.0717932557777,8,1.0,0.0
"Retrosplenial area, lateral agranular part",L4/5 IT,0.0570915896765,0.0716029075307,214,4.68691588785,0.00467289719626
"Agranular insular area, dorsal part",HIP CA3,0.0570829212666,0.0,1,1.0,0.0
Posterior auditory area,RSP/ACA UL,0.056902885437,0.0,1,1.0,0.0
"Primary somatosensory area, trunk",PPP,0.056809809325,0.01877063892,7,1.0,0.0
Gustatory areas,Unclear,0.0566034317017,0.0,1,1.0,0.0
Primary motor area,RSP/ACA ML,0.0560143196748,0.0582817163387,9,1.22222222222,0.0
"Primary somatosensory area, barrel field",L5 ET,0.0559637373071,0.0560894781144,251,2.79282868526,0.0438247011952
"Primary somatosensory area, trunk",AON,0.0549175739288,0.0,1,1.0,0.0
Anterolateral visual area,Car3,0.0541861251102,0.187815162602,53,1.7358490566,0.0754716981132
"Agranular insular area, dorsal part",NP,0.053600346817,0.0222938835428,45,1.62222222222,0.0666666666667
Supplemental somatosensory area,BLA/BMA/PA,0.0533375740051,0.0,1,1.0,0.0
"Agranular insular area, posterior part",NP,0.0531968442303,0.0358077613418,82,2.10975609756,-0.0121951219512
Primary motor area,BLAa,0.0529432296753,0.0,1,1.0,0.0
Lateral visual area,L6 CT,0.0521278874102,0.209184976409,44,6.47727272727,0.0227272727273
Primary auditory area,EPd,0.0517224755425,0.0705074967148,13,1.61538461538,0.0769230769231
"Retrosplenial area, lateral agranular part",NP,0.0504814469808,0.0233472234398,166,2.06024096386,0.0
Perirhinal area,ENT ML,0.0503170943897,0.211095578028,21,6.7619047619,-0.0952380952381
Primary visual area,L6 IT,0.0501465424709,0.025463150124,403,3.87344913151,-0.00744416873449
"Primary somatosensory area, mouth",AON,0.0493737086654,0.0316639374613,3,1.0,0.0
"Anterior cingulate area, dorsal part",L6 IT,0.0480384794855,0.0645611095305,128,4.6328125,0.015625
Temporal association areas,Unclear,0.0479218093678,0.0304869463251,3,1.0,0.0
"Primary somatosensory area, barrel field",PG,0.0473804468235,0.0487198747249,26,1.07692307692,0.0
Primary auditory area,NP,0.0473708179741,0.0156831187553,78,1.53846153846,0.0
"Anterior cingulate area, ventral part",ENT ML,0.0472027424628,0.041162465585,11,1.0,0.0909090909091
"Anterior cingulate area, ventral part",BLAa,0.0469636584406,0.0153278464108,17,1.29411764706,0.0588235294118
"Agranular insular area, posterior part",Low quality,0.0453947638536,0.0596445515616,56,3.85714285714,0.0178571428571
"Retrosplenial area, ventral part",Unclear,0.0448495174607,0.0378717626898,17,1.76470588235,0.0588235294118
"Primary somatosensory area, barrel field",RSP/ACA UL,0.0444419387728,0.239298521916,5,1.0,0.2
Ventral auditory area,ENT ML,0.0435958954219,0.0921054562477,13,1.0,0.0
Secondary motor area,NA,0.0427727906935,0.0215110926832,390,5.63846153846,0.0230769230769
Primary motor area,PG,0.0425331502629,0.0164184550882,24,1.08333333333,0.0833333333333
Primary auditory area,Car3,0.0413439957073,0.081019131908,135,2.47407407407,0.0148148148148
"Agranular insular area, posterior part",RSP/ACA UL,0.0411653220654,0.0327785313129,2,1.0,0.0
Primary visual area,PIR UL,0.0408510558216,0.0380173070206,34,1.02941176471,-0.0294117647059
"Primary somatosensory area, lower limb",L2/3 IT,0.0404447111395,0.113339366307,203,9.44827586207,-0.0295566502463
"Retrosplenial area, lateral agranular part",HIP SUB,0.0402502424549,0.0404564433265,2,1.0,0.0
Postrhinal area,PPP,0.0395876644213,0.0588014136604,17,3.82352941176,0.0588235294118
"Primary somatosensory area, unassigned",NP,0.0380898521322,0.0725922278956,46,1.73913043478,0.0
Anteromedial visual area,L6b,0.0379051948813,0.0742413989202,33,1.60606060606,0.030303030303
"Primary somatosensory area, trunk",ENT DL,0.0374942675699,0.0656094548915,4,1.25,0.0
Perirhinal area,Car3,0.0370821431279,0.0,1,1.0,0.0
"Primary somatosensory area, upper limb",DGpo,0.0368891358376,0.0,1,1.0,0.0
"Anterior cingulate area, ventral part",LA,0.035983308102,0.0336583439047,4,1.0,0.0
"Primary somatosensory area, lower limb",ENT ML,0.0352527136759,0.0518429142559,6,1.0,0.0
Primary visual area,ENT UL,0.0350267502945,0.036906399997,2,1.0,0.0
"Retrosplenial area, lateral agranular part",ENT DL,0.0347479354664,0.0897202349963,44,1.47727272727,-0.0681818181818
Supplemental somatosensory area,ENT UL,0.0339708328247,0.0,1,1.0,0.0
Primary motor area,L6b,0.0338378428648,0.0233800159725,229,2.81659388646,0.0218340611354
Ventral auditory area,NP PPP/RSP,0.033812046051,0.0,1,1.0,0.0
"Primary somatosensory area, trunk",Low quality,0.0335343293846,0.045307820771,4,1.25,-0.25
Secondary motor area,Low quality,0.0324326185232,0.0490535380145,42,1.16666666667,0.0
Perirhinal area,TT,0.0324194431305,0.0698974594504,3,1.0,0.0
"Agranular insular area, ventral part",NP,0.0321897776531,0.0382500269571,21,1.66666666667,-0.047619047619
Temporal association areas,HIP SUB,0.0316225886345,0.0750378546972,5,1.0,0.0
"Primary somatosensory area, mouth",BLA/BMA/PA,0.0316169261932,0.0,1,1.0,0.0
Temporal association areas,HIP CA3,0.0303301662207,0.0123217478395,2,1.0,0.0
Anteromedial visual area,PG,0.0301231056452,0.109836140898,5,1.2,0.0
Cortical subplate,PG,0.029061794281,0.0,1,1.0,0.0
"Primary somatosensory area, mouth",Unclear,0.0281029707668,0.0370256696509,11,1.0,0.0
"Retrosplenial area, lateral agranular part",L6 CT,0.0277254106258,0.0905744556566,234,6.52564102564,-0.00854700854701
Gustatory areas,L6b/CT,0.0275254381921,0.0476445467169,51,2.66666666667,-0.0196078431373
"Anterior cingulate area, ventral part",L6b/CT,0.0271944030369,0.0343835150109,45,3.15555555556,0.0
"Primary somatosensory area, barrel field",ENT UL,0.0271599292755,0.0,1,1.0,0.0
Supplemental somatosensory area,Unclear,0.0266192984081,0.0306429354967,19,1.05263157895,0.0
Primary motor area,Unclear,0.0265670082299,0.0130921402385,8,1.0,0.0
"Anterior cingulate area, dorsal part",BLAa,0.0264570713043,0.0248956924322,4,1.0,0.0
"Retrosplenial area, dorsal part",NP,0.0250170045665,0.0183624699188,291,2.44673539519,0.00343642611684
"Agranular insular area, dorsal part",NA,0.0241914047857,0.0578487260668,104,5.79807692308,0.00961538461538
"Retrosplenial area, dorsal part",EPd,0.0238525356565,0.0654829084132,14,1.35714285714,0.0714285714286
"Primary somatosensory area, mouth",L5 ET,0.0238043455174,0.0565667237912,202,2.16831683168,0.039603960396
Secondary motor area,L4/5 IT,0.0235019461917,0.0243286375729,245,4.56326530612,0.0244897959184
Temporal association areas,ENT ML,0.0233022348867,0.0656335745762,21,1.19047619048,0.0
"Anterior cingulate area, dorsal part",PG,0.0230346210301,0.0306180831704,4,1.0,0.0
Gustatory areas,NP,0.0229931064134,0.0456020285012,38,1.39473684211,-0.0263157894737
Ectorhinal area,BLAa,0.0229510060744,0.0388846226722,3,1.66666666667,0.0
"Retrosplenial area, dorsal part",PG,0.0225889145397,0.0180522951025,20,1.0,0.05
"Agranular insular area, dorsal part",Unclear,0.0221562832594,0.0130709260702,2,1.0,0.0
posteromedial visual area,L5 IT,0.0219674216102,0.116544968101,89,2.65168539326,0.0224719101124
Ventral auditory area,PIR UL,0.020902421222,0.0177340902851,9,1.0,0.0
"Primary somatosensory area, trunk",NP,0.0207364777569,0.0563603916129,65,1.87692307692,-0.0307692307692
Gustatory areas,RSP/ACA UL,0.0205372869968,0.0673467580322,3,1.66666666667,0.0
"Retrosplenial area, ventral part",RSP/ACA ML,0.0204603755943,0.0235278722561,403,7.3300248139,0.00992555831266
"Retrosplenial area, ventral part",ENT ML,0.0194048013509,0.0555281383644,8,1.0,0.0
"Agranular insular area, dorsal part",ENT UL,0.0189853310585,0.0,1,1.0,0.0
Supplemental somatosensory area,L6 IT,0.0178707191847,0.025133123651,786,3.18829516539,-0.00508905852417
Rostrolateral visual area,DGgc,0.0173124447465,0.0,1,1.0,0.0
"Primary somatosensory area, lower limb",NP PPP/RSP,0.0171057110419,0.054663894249,8,1.0,0.0
Temporal association areas,BLA/BMA/PA,0.0170417292975,0.0171291367151,2,1.0,0.0
"Agranular insular area, dorsal part",ENT L6b,0.016791553644,0.0167280182917,4,1.0,0.0
Secondary motor area,ENT DL,0.016596598085,0.0211845377619,21,1.09523809524,0.0
"Primary somatosensory area, lower limb",L6b/CT,0.0163977002459,0.0634949061317,7,1.0,0.0
Primary auditory area,BLA/BMA/PA,0.0163100101054,0.0,1,1.0,0.0
"Agranular insular area, posterior part",DGpo,0.0162118915468,0.0,1,1.0,0.0
"Primary somatosensory area, mouth",ENT ML,0.0158201704423,0.011258091716,6,1.0,0.0
Primary visual area,RSP/ACA ML,0.0149520921987,0.0181530104944,8,1.0,0.0
"Primary somatosensory area, upper limb",Unclear,0.014809012413,0.134010703767,7,1.0,0.0
Primary auditory area,L6b,0.0147818415278,0.0307283436051,59,2.38983050847,0.0
Ectorhinal area,Low quality,0.0146908152383,0.154942120387,8,1.0,0.0
Ectorhinal area,NA,0.0145870233774,0.0667214640296,125,6.712,0.016
Anterolateral visual area,PG,0.0144951529801,0.012833353132,2,1.0,0.0
"Primary somatosensory area, barrel field",NP,0.0144563839618,0.0256281457167,181,1.74033149171,0.0165745856354
Primary visual area,L5 IT,0.0143825956679,0.0251781136975,402,2.76119402985,-0.00746268656716
Primary motor area,NA,0.0143718272774,0.013499131585,588,6.08673469388,0.0136054421769
Primary visual area,ENT L6b,0.0140771795015,0.0720335052562,19,1.15789473684,0.0
"Agranular insular area, ventral part",L6 CT,0.0133170459691,0.0757765729053,24,2.79166666667,-0.0416666666667
Temporal association areas,BLAa,0.0125482399017,0.0074004416509,5,1.0,0.0
"Agranular insular area, posterior part",COA,0.0124177497346,0.031290449043,17,1.23529411765,0.0
"Agranular insular area, ventral part",ENT ML,0.0114688635305,0.0221943187686,14,1.21428571429,0.0714285714286
Primary visual area,BLAa,0.0108960038051,0.00986922050067,3,1.0,0.0
"Primary somatosensory area, barrel field",L6b,0.0106247917637,0.0339462668525,203,2.31034482759,-0.00985221674877
Primary auditory area,Low quality,0.0105147979713,0.0128551017249,14,1.0,0.0
"Agranular insular area, posterior part",AON,0.0104624264932,0.177241415273,8,1.0,-0.125
"Anterior cingulate area, ventral part",HIP SUB,0.0104116725133,0.00620965900125,17,1.47058823529,0.0
"Retrosplenial area, ventral part",Low quality,0.0100673879202,0.0147623851794,253,2.79051383399,-0.00395256916996
"Anterior cingulate area, ventral part",BLA/BMA/PA,0.0099377284328,0.0140492547924,13,2.07692307692,0.0
Secondary motor area,AON,0.00987027850933,0.0435561723737,5,1.0,0.0
"Primary somatosensory area, mouth",Low quality,0.00956813196306,0.0325448632044,89,1.86516853933,0.0
Dorsal auditory area,COA,0.00892763584852,0.00255992263556,2,1.0,0.0
Secondary motor area,NP,0.00886073976422,0.0164845282446,176,1.72727272727,0.0113636363636
Visceral area,NP PPP/RSP,0.00863604806364,0.0,1,1.0,0.0
"Anterior cingulate area, ventral part",COA,0.00835439073853,0.0352608974279,4,1.0,0.0
Primary auditory area,NA,0.0080874812797,0.0359274980416,232,5.84482758621,-0.0129310344828
Anteromedial visual area,ENT DL,0.00795000181957,0.048441668133,11,1.18181818182,0.0
Primary auditory area,PG,0.00740897074242,0.0416336824234,14,1.0,-0.0714285714286
Primary motor area,PIR UL,0.00699456878593,0.0263510200267,27,1.0,0.0
"Agranular insular area, dorsal part",BLAa,0.00693709671032,0.00685132153025,3,1.0,0.0
"Anterior cingulate area, dorsal part",ENT ML,0.00645624178772,0.0835925086478,12,1.0,0.0
Primary auditory area,ENT ML,0.00618573255321,0.00758716279683,7,1.0,0.0
"Anterior cingulate area, ventral part",L6b,0.00584622301185,0.0285437591249,39,1.53846153846,0.0
"Retrosplenial area, ventral part",PPP,0.00571486095003,0.0162694273146,57,1.77192982456,0.0
"Primary somatosensory area, trunk",L6b,0.00564667127716,0.0885094285231,45,2.0,-0.0222222222222
"Agranular insular area, dorsal part",Low quality,0.00494928894209,0.0156617329154,19,1.73684210526,0.0
Primary visual area,HIP CA1,0.00490792840719,0.0517420619031,4,1.0,0.25
"Retrosplenial area, ventral part",L4/5 IT,0.00485738945168,0.0204384752211,45,1.73333333333,0.0
Postrhinal area,RSP/ACA UL,0.00458782639665,0.00211190650026,3,1.0,0.0
Secondary motor area,EPd,0.00436783605255,0.0,1,1.0,0.0
Anterior area,Unclear,0.00436481408542,0.0138367255537,8,1.0,0.0
Rostrolateral visual area,HIP CA3,0.00404261797667,0.0,1,1.0,0.0
Posterolateral visual area,TR,0.00365948863328,0.0,1,2.0,0.0
"Anterior cingulate area, ventral part",ENT L6b,0.00347114927717,0.00259278324873,4,1.0,0.0
"Agranular insular area, dorsal part",DGpo,0.00335018336773,0.00574015067106,4,1.0,0.0
"Primary somatosensory area, upper limb",NA,0.00295596119596,0.0392595921962,379,5.94459102902,-0.0131926121372
Posterolateral visual area,RSP/ACA ML,0.00283735303674,0.00228506777119,4,1.0,0.0
Supplemental somatosensory area,PPP,0.00279937312007,0.0,1,1.0,0.0
Primary motor area,DGpo,0.00274567119777,0.0,1,1.0,0.0
Posterolateral visual area,RSP/ACA UL,0.00273233639642,0.00377660557108,7,1.28571428571,0.0
Secondary motor area,ENT UL,0.00253374315798,0.0125960410872,4,1.0,0.0
Ectorhinal area,DGpo,0.00252525229007,0.000768175348639,2,1.0,0.0
Primary motor area,DGgc,0.00242746993899,0.00240385846758,3,1.0,0.0
"Retrosplenial area, ventral part",RSP/ACA UL,0.00224989634268,0.0494853002499,361,9.96121883657,0.0360110803324
"Retrosplenial area, ventral part",PIR UL,0.00204363356655,0.0258154902271,12,1.0,0.0
"Primary somatosensory area, barrel field",TR,0.00122898409609,0.00046011840459,2,1.0,0.0
Anterior area,DGgc,0.00118225440383,0.000567279756069,2,1.5,0.0
"Anterior cingulate area, ventral part",NP,0.00107350065047,0.0199401960593,127,2.68503937008,0.0
"Primary somatosensory area, trunk",RSP/ACA UL,0.000918147852644,0.00300511790129,4,1.0,0.0
Primary motor area,HIP SUB,0.000403644517064,0.0,1,1.0,0.0
"Primary somatosensory area, lower limb",BLAa,0.000381700694561,0.0,1,1.0,0.0
Posterolateral visual area,HIP SUB,0.00024648962426,0.000308446848067,2,1.0,0.0
Posterolateral visual area,BLA/BMA/PA,0.000165597477462,0.0,1,1.0,0.0
"Retrosplenial area, ventral part",ENT UL,6.24472158961e-05,0.00010689295024,6,1.0,0.0
"Anterior cingulate area, dorsal part",PIR UL,3.65828940024e-05,0.00376926017861,6,1.0,0.0
Posterolateral visual area,HIP CA1,-1.05728395283e-05,0.0,1,1.0,0.0
Primary auditory area,RSP/ACA UL,-6.82821555529e-05,0.0,1,1.0,0.0
"Retrosplenial area, ventral part",MOB UL,-0.000116036040708,0.0,1,1.0,0.0
Supplemental somatosensory area,TT,-0.000188897829503,0.0,1,1.0,0.0
"Anterior cingulate area, ventral part",PPP,-0.000244073197246,0.000242408922472,5,1.0,0.0
"Agranular insular area, posterior part",DGgc,-0.00037482380867,0.0,1,1.0,0.0
Visceral area,TT,-0.000389139167964,0.0,1,1.0,0.0
Ectorhinal area,Unclear,-0.000421941978857,0.000250663841143,2,1.0,0.0
Supplemental somatosensory area,ENT L6b,-0.000519588589668,0.0,1,1.0,0.0
"Anterior cingulate area, ventral part",TR,-0.000544174341485,0.000264354928595,5,1.0,0.0
"Primary somatosensory area, trunk",TR,-0.000597368227318,0.0,1,1.0,0.0
"Agranular insular area, dorsal part",ENT ML,-0.000614859359173,0.0388085378165,7,1.0,-0.142857142857
"Anterior cingulate area, ventral part",DGpo,-0.000702353660017,0.0,1,1.0,0.0
Postrhinal area,PG,-0.000908068846911,0.00170512637123,2,1.0,0.0
"Agranular insular area, dorsal part",RSP/ACA ML,-0.00105379661545,0.000437278766185,2,1.0,0.0
Posterolateral visual area,Low quality,-0.00106703381365,0.000832545746648,3,2.66666666667,0.0
Secondary motor area,Car3,-0.00107489805669,0.0,1,2.0,0.0
"Retrosplenial area, ventral part",HIP SUB,-0.0013300342301,0.0176797411451,24,1.41666666667,0.0
"Anterior cingulate area, ventral part",AON,-0.00141414589598,0.000641082529591,4,1.0,0.0
"Retrosplenial area, dorsal part",ENT UL,-0.00141820311546,0.0412274301052,2,1.0,0.0
"Anterior cingulate area, ventral part",Unclear,-0.00146648607915,0.00147124874638,2,1.0,0.0
Posterolateral visual area,DGpo,-0.00154425483197,0.0,1,1.0,0.0
"Agranular insular area, posterior part",PPP,-0.00167171889916,0.0,1,1.0,0.0
"Retrosplenial area, ventral part",L5 ET,-0.00168663263225,0.0331692149999,304,3.72368421053,-0.00657894736842
"Retrosplenial area, ventral part",HIP CA1,-0.00186606217176,0.000565486960113,2,1.0,0.0
"Agranular insular area, posterior part",ENT UL,-0.00204332103021,0.000899998703972,2,1.0,0.0
"Anterior cingulate area, ventral part",Car3,-0.00210378691554,0.0190236073055,3,1.0,0.0
Supplemental somatosensory area,ENT ML,-0.00236616085136,0.0525810730639,19,1.05263157895,0.0
"Primary somatosensory area, upper limb",PIR UL,-0.00278468895704,0.0804831369973,8,1.0,0.0
Primary auditory area,LA,-0.0029167085886,0.0,1,1.0,0.0
Ectorhinal area,RSP/ACA UL,-0.00315900146961,0.0,1,1.0,0.0
"Retrosplenial area, dorsal part",DGpo,-0.00356680527329,0.0,1,1.0,0.0
Temporal association areas,L5 IT,-0.00394492750153,0.0786164560871,96,1.9375,-0.0208333333333
Perirhinal area,PIR UL,-0.0044177244495,0.0470488808026,15,1.46666666667,0.0
"Anterior cingulate area, ventral part",ENT DL,-0.00443392498123,0.0334449029074,57,1.80701754386,0.0
Primary motor area,L5 ET,-0.00461034308735,0.0304007547204,388,2.38659793814,0.0283505154639
"Primary somatosensory area, barrel field",DGgc,-0.00472644235318,0.00341955818583,3,1.0,0.0
Dorsal auditory area,AON,-0.00507158041,0.0,1,1.0,0.0
"Primary somatosensory area, lower limb",AON,-0.00513024395332,0.00364701953698,3,1.0,0.0
Temporal association areas,LA,-0.00607845112681,0.109178816326,15,1.13333333333,0.0666666666667
Postrhinal area,BLA/BMA/PA,-0.00665721297264,0.0,1,1.0,0.0
"Primary somatosensory area, barrel field",AON,-0.00703558579941,0.00379300810209,6,1.16666666667,0.0
Primary visual area,Low quality,-0.00848101128039,0.0262803108822,142,3.60563380282,0.0211267605634
Postrhinal area,COA,-0.00873962337342,0.0272309783422,11,1.18181818182,0.0
"Retrosplenial area, lateral agranular part",ENT ML,-0.00939628464709,0.0736827671642,19,1.10526315789,0.0
Secondary motor area,PG,-0.00971054059586,0.0292302485549,14,1.07142857143,0.0
"Retrosplenial area, lateral agranular part",HIP CA1,-0.010229062289,0.0,1,1.0,0.0
"Primary somatosensory area, mouth",EPd,-0.010461807251,0.0,1,1.0,0.0
Primary auditory area,ENT L6b,-0.0109675885178,0.0,1,1.0,0.0
Cortical subplate,ENT UL,-0.0113034620881,0.0,1,1.0,0.0
"Agranular insular area, posterior part",L5 IT,-0.011980590091,0.178888682104,44,2.52272727273,-0.0227272727273
Gustatory areas,L5 ET,-0.0122612422039,0.112494844396,62,2.27419354839,-0.0483870967742
"Agranular insular area, posterior part",NA,-0.0127129099508,0.0446742751136,220,6.21818181818,-0.0454545454545
"Anterior cingulate area, dorsal part",NA,-0.0128726159622,0.0288453941694,181,6.01657458564,0.0276243093923
corpus callosum,Low quality,-0.012885093689,0.0,1,1.0,0.0
Primary visual area,NA,-0.0131881411733,0.0177509596052,712,5.50421348315,-0.0252808988764
"Anterior cingulate area, ventral part",HIP CA1,-0.01327325647,0.0129299792093,5,1.0,0.0
"Primary somatosensory area, trunk",PG,-0.0136247534305,0.0196522809204,5,1.0,0.0
"Primary somatosensory area, barrel field",L6b/CT,-0.0138739264221,0.0654290382732,16,1.0,-0.0625
Postrhinal area,HIP SUB,-0.0143912072526,0.0143742103828,2,2.0,0.0
Primary visual area,Unclear,-0.0146622348742,0.027951861675,12,1.25,0.0
Primary motor area,NP,-0.0149565806563,0.0123976305415,233,1.52789699571,-0.00429184549356
Posterior auditory area,EPd,-0.0167628288269,0.0394007004777,5,1.0,0.0
Temporal association areas,Low quality,-0.0169646752067,0.0403906520338,15,1.06666666667,-0.133333333333
