label,cell_type,mean_attention,sem,count
posteromedial visual area,TR,0.0481583118439,0.0104481771365,5
"Agranular insular area, posterior part",BLAa,0.0481478691101,0.0245525348892,5
"Agranular insular area, ventral part",L2/3 IT,0.047769644986,0.00281459163654,138
Postrhinal area,L6b,0.0473971802153,0.00257587529833,152
Anteromedial visual area,ENT DL,0.0473538426792,0.00627701560946,17
"Anterior cingulate area, dorsal part",ENT DL,0.047335767746,0.00301220869524,70
Perirhinal area,L5 IT,0.0472693443298,0.0173363253166,5
"Agranular insular area, posterior part",AON,0.0471887812018,0.0197593924229,8
"Primary somatosensory area, trunk",Car3,0.047003030777,0.0143783092499,2
"Agranular insular area, posterior part",L5 IT,0.0467085219049,0.00293402750161,77
Secondary motor area,RSP/ACA UL,0.0467024462183,0.00162452350867,179
Ventral auditory area,TR,0.0465985834599,0.0179968796369,4
Lateral visual area,L6 IT,0.0465389772885,0.00185904132244,449
"Primary somatosensory area, trunk",PIR UL,0.0463891347249,0.0137469365832,15
Supplemental somatosensory area,L6 IT,0.0462286625802,0.00086880710191,1667
Temporal association areas,L6 IT,0.0460418814963,0.00259142566514,176
"Agranular insular area, dorsal part",L2/3 IT,0.0459090919316,0.00104593088114,588
Ectorhinal area,L6 CT,0.0456909977871,0.0083362532647,23
"Retrosplenial area, ventral part",HIP SUB,0.0455719360283,0.00641328761952,28
Secondary motor area,PIR UL,0.0455119132996,0.00533979546862,10
"Primary somatosensory area, unassigned",L4/5 IT,0.0453889818592,0.00110356825936,1310
"Primary somatosensory area, barrel field",Car3,0.0453868325537,0.00142550633891,538
posteromedial visual area,RSP/ACA ML,0.0452914021232,0.00712892717643,33
Primary motor area,BLAa,0.0452655951182,0.0160183474853,3
"Primary somatosensory area, trunk",Low quality,0.0450790325801,0.0191870746993,6
Secondary motor area,L2/3 IT,0.0450746965914,0.000466707428797,2312
Visceral area,ENT L6b,0.0450377563636,0.0209533689846,3
Lateral visual area,L5 IT,0.0450335843306,0.00204378200102,306
"Primary somatosensory area, nose",PG,0.0450148284435,0.0146149850148,8
Cortical subplate,Low quality,0.0449590682983,0.00329986990619,3
Postrhinal area,ENT L6b,0.044946480279,0.00266659742398,99
Primary visual area,L6b/CT,0.0448464353879,0.00559164435078,42
Lateral visual area,ENT ML,0.0447857325727,0.0155531038591,11
Rostrolateral visual area,ENT ML,0.0446731448174,0.0173179134518,4
Laterointermediate area,L6b,0.0445006435568,0.00829303118357,22
Secondary motor area,Car3,0.0444428126017,0.00678751145353,3
Primary motor area,ENT ML,0.0443674137718,0.00769736052822,19
Visceral area,L6 CT,0.044330575934,0.00156701377431,372
"Retrosplenial area, lateral agranular part",Low quality,0.0443066572639,0.00389997699734,142
Perirhinal area,ENT L6b,0.0442018725655,0.00764578931604,11
"Agranular insular area, dorsal part",ENT DL,0.0440011169396,0.00144471637686,255
Posterior auditory area,EPd,0.0439453721046,0.0149929034373,4
"Anterior cingulate area, dorsal part",EPd,0.04385693868,0.0089855195835,3
Perirhinal area,L6b/CT,0.0437316894531,0.00172328948975,2
posteromedial visual area,ENT DL,0.043677493378,0.00701262995159,27
"Retrosplenial area, ventral part",L6b,0.0435776771125,0.00341003359399,59
Primary motor area,L5 ET,0.0435213530725,0.000854907488535,1063
Lateral visual area,ENT L6b,0.0434556007385,0.0154110013975,3
posteromedial visual area,ENT ML,0.0433668749673,0.01451912349,7
"Anterior cingulate area, ventral part",BLAa,0.0433265295896,0.00712316951705,22
"Anterior cingulate area, ventral part",HIP CA1,0.0431649684906,0.00687898375478,4
"Agranular insular area, dorsal part",L4/5 IT,0.0430993921243,0.0011125205668,413
Lateral visual area,L6b,0.0429086287816,0.00367982022994,93
"Primary somatosensory area, mouth",Car3,0.042850662555,0.00319782952501,140
"Primary somatosensory area, trunk",TT,0.0427198410034,0.00404644012451,2
Cortical subplate,L4/5 IT,0.0426914691925,0.00646102499263,17
"Retrosplenial area, ventral part",ENT ML,0.0426827430725,0.00739325013459,5
Secondary motor area,AON,0.0426609516144,0.0112072109643,5
Primary visual area,L5 IT,0.0425697919195,0.000889363268312,1222
Postrhinal area,L5 IT,0.0425533294678,0.00274155472224,100
Anteromedial visual area,Car3,0.0424561500549,0.0168009668722,3
Lateral visual area,PG,0.0424494743347,0.0,1
"Retrosplenial area, dorsal part",RSP/ACA UL,0.0424307146183,0.000497700768736,2661
Anterolateral visual area,ENT ML,0.04241391023,0.0154066022766,9
Ectorhinal area,L6 IT,0.0424123174614,0.00484693237297,54
"Agranular insular area, posterior part",L2/3 IT,0.0421230298525,0.00108296285305,757
Postrhinal area,AON,0.0421144962311,0.0073926448822,2
Perirhinal area,L6b,0.0420462608337,0.00505467342397,5
"Primary somatosensory area, nose",Car3,0.0420254944222,0.00152054218233,311
Anteromedial visual area,RSP/ACA UL,0.0420235303732,0.00829616455994,13
"Anterior cingulate area, ventral part",Car3,0.0419795513153,0.00495743751526,2
"Retrosplenial area, ventral part",L6 CT,0.0419708089957,0.00120439028833,521
"Retrosplenial area, lateral agranular part",ENT ML,0.0419477522373,0.00843057754033,16
Postrhinal area,L6b/CT,0.0419188805165,0.00259990272588,93
"Anterior cingulate area, dorsal part",L5 IT,0.0418809347095,0.000912171522844,496
Postrhinal area,NP PPP/RSP,0.0417229533195,0.00606703698339,8
"Agranular insular area, dorsal part",COA,0.0416960716248,0.0104178090809,3
Secondary motor area,L5 IT,0.0416158346616,0.000478590617526,1485
Primary motor area,L4/5 IT,0.0413721390641,0.000430824863035,3581
"Primary somatosensory area, mouth",L4/5 IT,0.0413045135708,0.000414115353172,6455
Temporal association areas,PIR UL,0.0412931442261,0.00683314494926,5
"Agranular insular area, posterior part",Unclear,0.041282872359,0.0114089379095,6
"Retrosplenial area, dorsal part",L5 ET,0.0411100159971,0.00094320826002,1058
"Agranular insular area, ventral part",L6b,0.0411059164232,0.00391081569293,31
Ectorhinal area,L5 IT,0.0410955205279,0.0034413959021,53
Posterolateral visual area,PIR UL,0.0410655021667,0.00398981158023,5
Primary visual area,ENT DL,0.0409987679234,0.00419093353559,54
Posterolateral visual area,HIP SUB,0.0409461259842,0.012558378082,6
Anterior area,L6 IT,0.0408828004489,0.00172805925176,359
Perirhinal area,ENT DL,0.0408594210943,0.00423914383353,36
posteromedial visual area,RSP/ACA UL,0.0408567147596,0.00565415247404,28
"Primary somatosensory area, nose",AON,0.0408378005028,0.0136271925855,5
Cortical subplate,L6 CT,0.0407524975863,0.0109384280211,11
"Primary somatosensory area, upper limb",AON,0.0406506856283,0.0266769749221,3
Ventral auditory area,BLA/BMA/PA,0.0406169891357,0.0,1
