dataset,method,group_size,metric,mean,std,n_runs
combat,random_forest_pseudobulk,2,donor_majority_accuracy,0.5588235294117647,0.1480359693190343,4
combat,random_forest_pseudobulk,4,donor_majority_accuracy,0.5392156862745098,0.12007302660701853,6
combat,random_forest_pseudobulk,8,donor_majority_accuracy,0.5294117647058824,0.09843059135695009,6
combat,random_forest_pseudobulk,16,donor_majority_accuracy,0.5980392156862745,0.1875600634285195,6
combat,random_forest_pseudobulk,32,donor_majority_accuracy,0.7142857142857143,0.09256421087875799,7
combat,random_forest_pseudobulk,64,donor_majority_accuracy,0.7563025210084034,0.07912855401582929,7
combat,random_forest_pseudobulk,128,donor_majority_accuracy,0.7563025210084033,0.10428297181504918,7
combat,random_forest_pseudobulk,256,donor_majority_accuracy,0.7983193277310923,0.06669961288398124,7
combat,random_forest_pseudobulk,512,donor_majority_accuracy,0.7720588235294118,0.058295953468536145,8
combat,random_forest_pseudobulk,1,donor_majority_balanced_accuracy,0.32820512820512815,0.011467015269229676,5
combat,random_forest_pseudobulk,2,donor_majority_balanced_accuracy,0.33796296296296297,0.009259259259259274,4
combat,random_forest_pseudobulk,4,donor_majority_balanced_accuracy,0.3333333333333333,0.0,5
combat,random_forest_pseudobulk,8,donor_majority_balanced_accuracy,0.3846153846153846,0.11467015269229693,5
combat,random_forest_pseudobulk,16,donor_majority_balanced_accuracy,0.492037037037037,0.21028876547120126,5
combat,random_forest_pseudobulk,32,donor_majority_balanced_accuracy,0.7505413105413105,0.11041887742434192,5
combat,random_forest_pseudobulk,64,donor_majority_balanced_accuracy,0.7534472934472934,0.18902072877429185,5
combat,random_forest_pseudobulk,128,donor_majority_balanced_accuracy,0.8010968660968661,0.19459569063224272,5
combat,random_forest_pseudobulk,256,donor_majority_balanced_accuracy,0.8514672364672364,0.0750189977102544,5
combat,random_forest_pseudobulk,512,donor_majority_balanced_accuracy,0.7737535612535612,0.1334287966840262,6
combat,logistic_regression_pseudobulk,1,group_accuracy,0.42822188793322064,0.04727296331746229,5
combat,logistic_regression_pseudobulk,2,group_accuracy,0.4494884589131405,0.049127852110040664,4
combat,logistic_regression_pseudobulk,4,group_accuracy,0.47275055690415707,0.06399639621968849,6
combat,logistic_regression_pseudobulk,8,group_accuracy,0.5485612311751389,0.031163582771696303,6
combat,logistic_regression_pseudobulk,16,group_accuracy,0.6801562606396042,0.04814399930214117,6
combat,logistic_regression_pseudobulk,32,group_accuracy,0.7127188297848116,0.036067368342064594,7
combat,logistic_regression_pseudobulk,64,group_accuracy,0.7790406981457174,0.060545894748354395,7
combat,logistic_regression_pseudobulk,128,group_accuracy,0.7593634188037853,0.08813144933426555,7
combat,logistic_regression_pseudobulk,256,group_accuracy,0.7898185051781089,0.09037103052182559,7
combat,logistic_regression_pseudobulk,512,group_accuracy,0.7945701705974775,0.08796135587984574,8
combat,logistic_regression_pseudobulk,all,group_accuracy,0.8137254901960785,0.07818589034265444,6
combat,logistic_regression_pseudobulk,1,group_balanced_accuracy,0.35824883965945864,0.032099644405440005,5
combat,logistic_regression_pseudobulk,2,group_balanced_accuracy,0.37474226800391547,0.05034555001841512,4
combat,logistic_regression_pseudobulk,4,group_balanced_accuracy,0.3904578864645217,0.06187026703668912,5
combat,logistic_regression_pseudobulk,8,group_balanced_accuracy,0.5103920731309777,0.0651963143140646,5
combat,logistic_regression_pseudobulk,16,group_balanced_accuracy,0.6867230681703933,0.08621572125486983,5
combat,logistic_regression_pseudobulk,32,group_balanced_accuracy,0.7348716016454043,0.08568514844590386,5
combat,logistic_regression_pseudobulk,64,group_balanced_accuracy,0.8331552578285036,0.0695863506356919,5
combat,logistic_regression_pseudobulk,128,group_balanced_accuracy,0.8407383015162182,0.08226694629750961,5
combat,logistic_regression_pseudobulk,256,group_balanced_accuracy,0.84930489778475,0.08046436441448547,5
combat,logistic_regression_pseudobulk,512,group_balanced_accuracy,0.8477493722028607,0.07220589974053726,6
combat,logistic_regression_pseudobulk,all,group_balanced_accuracy,0.8732905982905984,0.06119517303728974,4
combat,logistic_regression_pseudobulk,1,donor_majority_accuracy,0.5294117647058824,0.1610948698544606,5
combat,logistic_regression_pseudobulk,2,donor_majority_accuracy,0.5735294117647058,0.17565169477616585,4
combat,logistic_regression_pseudobulk,4,donor_majority_accuracy,0.6078431372549019,0.09605842128561487,6
combat,logistic_regression_pseudobulk,8,donor_majority_accuracy,0.6960784313725491,0.13627098316779646,6
combat,logistic_regression_pseudobulk,16,donor_majority_accuracy,0.7549019607843137,0.09424011639763068,6
combat,logistic_regression_pseudobulk,32,donor_majority_accuracy,0.7394957983193278,0.04628210543937897,7
combat,logistic_regression_pseudobulk,64,donor_majority_accuracy,0.8067226890756302,0.12109785053903235,7
combat,logistic_regression_pseudobulk,128,donor_majority_accuracy,0.7815126050420168,0.11116602147330208,7
combat,logistic_regression_pseudobulk,256,donor_majority_accuracy,0.773109243697479,0.10428297181504917,7
combat,logistic_regression_pseudobulk,512,donor_majority_accuracy,0.7941176470588236,0.08318903308077023,8
combat,logistic_regression_pseudobulk,1,donor_majority_balanced_accuracy,0.3915954415954416,0.13973044770065865,5
combat,logistic_regression_pseudobulk,2,donor_majority_balanced_accuracy,0.41025641025641024,0.15384615384615388,4
combat,logistic_regression_pseudobulk,4,donor_majority_balanced_accuracy,0.4509686609686609,0.09086153889658392,5
combat,logistic_regression_pseudobulk,8,donor_majority_balanced_accuracy,0.5794078144078144,0.13543904721630343,5
combat,logistic_regression_pseudobulk,16,donor_majority_balanced_accuracy,0.7673707773707773,0.10868985527790256,5
combat,logistic_regression_pseudobulk,32,donor_majority_balanced_accuracy,0.7866524216524217,0.09843438324986241,5
combat,logistic_regression_pseudobulk,64,donor_majority_balanced_accuracy,0.8734961334961335,0.09204676143433795,5
combat,logistic_regression_pseudobulk,128,donor_majority_balanced_accuracy,0.860960520960521,0.09111920604569011,5
combat,logistic_regression_pseudobulk,256,donor_majority_balanced_accuracy,0.8392368742368742,0.08372957090456429,5
combat,logistic_regression_pseudobulk,512,donor_majority_balanced_accuracy,0.8453517161850496,0.07230369516292064,6
combat,random_forest_cell_type_histogram,1,group_accuracy,0.3621548769355666,0.018722375162362546,5
combat,random_forest_cell_type_histogram,2,group_accuracy,0.3933825493557698,0.05353243187890139,4
combat,random_forest_cell_type_histogram,4,group_accuracy,0.44768785104504105,0.03801418875824059,6
combat,random_forest_cell_type_histogram,8,group_accuracy,0.4888776821732213,0.02848340711810651,6
combat,random_forest_cell_type_histogram,16,group_accuracy,0.5320523029257878,0.02388679319232438,6
combat,random_forest_cell_type_histogram,32,group_accuracy,0.5383075624770333,0.027361764045326663,7
combat,random_forest_cell_type_histogram,64,group_accuracy,0.5685241945512699,0.04506674054458507,7
combat,random_forest_cell_type_histogram,128,group_accuracy,0.567602509401535,0.0726457759313206,7
combat,random_forest_cell_type_histogram,256,group_accuracy,0.6149390842643226,0.03217645174525787,7
combat,random_forest_cell_type_histogram,512,group_accuracy,0.6311906725500337,0.059318962517001264,8
combat,random_forest_cell_type_histogram,all,group_accuracy,0.7156862745098039,0.09424011639763068,6
combat,random_forest_cell_type_histogram,1,group_balanced_accuracy,0.34297610366738196,0.02327930118224208,5
combat,random_forest_cell_type_histogram,2,group_balanced_accuracy,0.34018059598450207,0.020159743712230272,4
combat,random_forest_cell_type_histogram,4,group_balanced_accuracy,0.36151349938727634,0.01850927290053245,5
combat,random_forest_cell_type_histogram,8,group_balanced_accuracy,0.3925800246998713,0.021314817827777468,5
combat,random_forest_cell_type_histogram,16,group_balanced_accuracy,0.40914611103725634,0.06649224876087366,5
combat,random_forest_cell_type_histogram,32,group_balanced_accuracy,0.43437202208714004,0.04534829625995034,5
combat,random_forest_cell_type_histogram,64,group_balanced_accuracy,0.46026982792652005,0.05306318750486651,5
combat,random_forest_cell_type_histogram,128,group_balanced_accuracy,0.4699960847795378,0.06098569888027929,5
combat,random_forest_cell_type_histogram,256,group_balanced_accuracy,0.5003066477192084,0.0419478943045595,5
combat,random_forest_cell_type_histogram,512,group_balanced_accuracy,0.5274680672613926,0.0866144942078844,6
combat,random_forest_cell_type_histogram,all,group_balanced_accuracy,0.5900462962962962,0.060789346518989325,4
combat,random_forest_cell_type_histogram,1,donor_majority_accuracy,0.3294117647058824,0.07892004626469845,5
combat,random_forest_cell_type_histogram,2,donor_majority_accuracy,0.4411764705882353,0.12245094114506662,4
combat,random_forest_cell_type_histogram,4,donor_majority_accuracy,0.5392156862745099,0.10131773084520641,6
combat,random_forest_cell_type_histogram,8,donor_majority_accuracy,0.5686274509803921,0.09605842128561484,6
combat,random_forest_cell_type_histogram,16,donor_majority_accuracy,0.5980392156862745,0.04428074427700478,6
combat,random_forest_cell_type_histogram,32,donor_majority_accuracy,0.5630252100840336,0.074848118856512,7
combat,random_forest_cell_type_histogram,64,donor_majority_accuracy,0.6134453781512604,0.04628210543937902,7
combat,random_forest_cell_type_histogram,128,donor_majority_accuracy,0.6302521008403362,0.0737391965327069,7
combat,random_forest_cell_type_histogram,256,donor_majority_accuracy,0.6722689075630253,0.046282105439379016,7
combat,random_forest_cell_type_histogram,512,donor_majority_accuracy,0.6838235294117647,0.06986676112737769,8
combat,random_forest_cell_type_histogram,1,donor_majority_balanced_accuracy,0.3163675213675214,0.07395502569207216,5
